dist_km,ele,grade_pct,asym_power,asym_speed,gordon_power,gordon_speed
156.474,744.4,9.4,305.7,12.5,281.0,11.6
156.486,745.4,8.7,304.4,12.2,281.0,11.3
156.499,746.6,9.0,305.3,12.3,281.0,11.3
156.512,747.4,6.3,296.2,13.2,281.0,12.4
156.524,748.2,6.6,293.9,14.4,281.0,13.8
156.534,749.0,7.6,296.1,14.4,281.0,13.8
156.549,750.0,6.7,293.9,14.5,281.0,13.8
156.560,750.6,5.7,290.2,15.1,281.0,14.6
156.571,751.2,5.2,286.5,15.9,281.0,15.5
156.583,751.4,1.7,274.3,17.7,281.0,17.4
156.595,752.2,6.8,281.1,18.3,281.0,18.2
156.612,753.4,7.0,288.4,16.7,281.0,16.5
156.624,754.2,6.6,289.9,15.7,281.0,15.4
156.647,756.0,7.9,296.4,14.7,281.0,14.2
156.658,756.4,3.5,285.5,15.2,281.0,14.7
156.669,756.8,3.7,279.5,17.2,281.0,16.9
156.679,757.8,9.9,293.2,16.4,281.0,16.0
156.691,759.2,11.5,309.7,13.0,281.0,12.3
156.704,760.4,9.2,306.8,11.5,281.0,10.5
156.714,761.4,9.8,308.1,11.7,281.0,10.7
156.724,762.0,6.0,297.5,12.7,281.0,11.9
156.745,763.4,6.9,295.2,14.2,281.0,13.5
156.756,764.0,5.4,289.8,15.1,281.0,14.5
156.766,764.6,5.7,287.9,15.8,281.0,15.3
156.778,765.4,7.1,291.1,15.7,281.0,15.2
156.812,767.6,6.4,290.8,15.4,281.0,14.9
156.822,768.4,7.8,294.8,14.9,281.0,14.4
156.836,769.6,8.6,300.4,13.9,281.0,13.2
156.848,770.2,4.9,290.2,14.4,281.0,13.7
156.859,771.0,7.4,293.3,15.2,281.0,14.6
156.871,771.8,6.9,293.6,14.8,281.0,14.2
156.892,773.4,7.6,296.5,14.4,281.0,13.7
156.904,774.6,10.0,306.0,13.0,281.0,12.2
156.916,775.6,7.9,301.7,12.5,281.0,11.6
156.932,776.4,5.1,289.7,14.3,281.0,13.6
156.943,776.6,1.9,277.1,17.0,281.0,16.7
156.956,777.0,3.1,271.7,19.0,275.9,18.9
156.968,777.6,5.0,273.7,19.4,280.9,19.4
156.989,777.8,0.9,261.5,20.9,248.3,20.8
157.003,777.6,-1.5,245.1,24.1,215.2,23.7
157.013,777.8,2.0,244.7,25.6,215.8,25.0
157.023,778.2,3.8,248.2,25.2,224.1,24.5
